date,open,high,low,close,volume
2025-01-27,15.62,16.16,15.54,15.92,10197200.0
2025-01-28,15.9,16.6,15.78,16.34,2658000.0
2025-02-03,16.0,16.0,14.44,14.7,8191000.0
2025-02-04,14.72,15.1,14.52,14.84,4574000.0
2025-02-05,14.88,14.9,13.46,13.6,42196309.0
2025-02-06,13.76,13.78,13.18,13.52,24384319.0
2025-02-07,13.6,13.96,13.44,13.88,27338004.0
2025-02-10,13.82,13.88,13.5,13.68,21576529.0
2025-02-11,13.78,14.24,13.68,13.8,20856331.0
2025-02-12,14.0,14.2,13.58,13.88,14010800.0
2025-02-13,13.88,14.46,13.7,13.82,26937481.0
2025-02-14,13.96,14.16,13.8,14.1,19014100.0
2025-02-17,14.1,14.32,13.68,13.76,24404680.0
2025-02-18,13.78,13.86,13.42,13.62,20317771.0
2025-02-19,13.4,13.62,13.2,13.5,13630399.0
2025-02-20,13.5,13.56,13.0,13.0,18194175.0
2025-02-21,13.04,13.06,12.38,12.62,28120200.0
2025-02-24,12.26,12.9,11.7,12.88,25225180.0
2025-02-25,12.66,13.34,12.46,12.52,19372985.0
2025-02-26,12.72,13.58,12.46,13.56,35596271.0
2025-02-27,13.66,14.48,13.4,14.0,46042700.0
2025-02-28,14.14,14.28,12.8,12.96,27962755.0
2025-03-03,13.12,14.26,12.76,14.08,33215118.0
2025-03-04,13.82,14.36,13.64,14.14,22326200.0
2025-03-05,14.34,14.7,13.94,14.2,23879050.0
2025-03-06,14.32,14.48,13.88,14.18,23706500.0
2025-03-07,14.18,14.18,13.52,14.0,35285179.0
2025-03-10,13.96,14.08,13.2,13.48,13843504.0
2025-03-11,13.18,13.76,13.16,13.7,8240730.0
2025-03-12,13.46,13.76,13.28,13.4,8185800.0
2025-03-13,13.48,13.88,13.42,13.48,13023000.0
2025-03-14,13.62,13.9,13.56,13.7,9780094.0
2025-03-17,13.9,14.3,13.76,13.8,10340000.0
2025-03-18,13.98,13.98,13.72,13.78,7449000.0
2025-03-19,13.64,14.0,13.46,13.58,8604500.0
2025-03-20,13.6,13.6,13.12,13.14,10574000.0
2025-03-21,13.22,13.54,12.9,13.26,10430790.0
2025-03-24,13.3,13.36,12.8,12.86,10945500.0
2025-03-25,12.88,12.9,12.34,12.34,10481500.0
2025-03-26,12.6,12.6,12.28,12.5,6679500.0
2025-03-27,12.6,13.1,12.38,12.72,8614532.0
2025-03-28,12.76,12.92,12.5,12.54,3621500.0
2025-03-31,12.54,12.92,12.26,12.74,6474000.0
2025-04-01,12.64,12.8,12.48,12.54,5273291.0
2025-04-02,12.58,12.66,12.4,12.56,3532500.0
2025-04-03,12.3,12.52,12.2,12.42,5081000.0
2025-04-07,11.66,11.66,10.12,10.34,21827709.0
